asin,reviewId,title,content,star
B07PGT7LSR,R3SIRJNC9BDBYU,"Great quality, low profile",I like most items from Anker. This charger is great looking and low profile. Much better than others I have tried.,5
B08L6LZQLK,R30Z41XG3M181D,Pretty Great!,Pretty great. My wife uses this every night for the past 3 months. No issues so far. Not Magsafe But pretty decent wireless charging.,5
B07VSMK849,R1BSF9Q87KA66W,"Unusual failure, but really great customer and warranty support!","At the outset, let me make clear that I'm an Anker fan. I've bought and still have probably two or three dozen Anker power devices of all kinds over the years. My Atom PD4 has been excellent for almost a year. So I was really surprised when it failed - I've never had a failure on any of my purchases. So I contacted Anker via their online support website.

They came back with the typical suggestions (I'm a geek and had already tested different cables, different outlets, shook it three times to the left, and the right). Reported the negative results back to them, and within a few days I got a replacement, which was new (not a refurb), and works perfectly. And they didn't even ask me to return the defective one whoch would have been a hassle - they instructed me to throw it away. Still impressed by Anker, and super impressed by their customer service, which makes me even more comfortable sticking with Anker in future.

So the 5 stars are a combination of their long term reliability except for this single event, and their customer service.",5
B089G6RM6Z,R2VY9J2N3ENOZT,Stopped working after 3 months,"I bought 1 at first and it still works great so I bought a second one for my wife and after the return period ended it would no longer charge either of our phones. Instead it drains them no matter how many times we rest the unit or our phones. Pretty disappointed that it’s a 50/50 shot it’s going to work or not. Now I can’t return the defective unit nor does Amazon give me a way to contact the seller of the unit for a replacement.

EDITED on 9/8/21
Seller reached out an offered a full replacement unit which has been ordered. Once the new unit arrives and is tested I will edit this review again. I added 1 extra star so far due to the prompt response and credited unit I will be receiving.",3
B09LCTMGF9,RJY05UP91NRM1,excellent product for the price.,"product worked for Iphone 8, XS Max, 11 pro, 12 pro, and 13 and 13 pro. I like the feature that allows you to charge all three gadgets on charger without plugging in more wires.",5
B0773BYS6P,R3H72FSR3RRLDC,Works well,I checked accuracy with my volt/ohm meter and it is right on!,5
B07L9QST54,RCIQ5KTDJBBT1,Could use longer wiring but overall good product!,"I installed this into my 2015 Nissan Pathfinder for the middle row.
I spliced it with one of the existing adapters.

The wiring could have been 6"" longer but I made it work.

The charger works like a charm!",4
B00VH8ZW02,RW9P031GHFMK1,This USB charger has ended the charging cord tangle,This USB charger has ended the charging cord tangle for me. It has plenty of charging ports and uses just one section of the wall power outlet! No more multiple chargers vying for wall outlet space. Very happy with this small footprint charger,5
B07MNBYYHG,R2VTJYPYAZ93DU,Eats to much power,Eats power,1
B07PGT7LSR,R28L6YGAMNEVFJ,Works great,Love this so compact and works great.,5
B08DD3TZ1W,R188DCKHWGV5JJ,great charger fast,Been looking for a great one this is it.,5
B01CDKCBXS,RP6ZEY23NVZ70,Great Buy,Used it today. Seems to work perfectly.,5
B09HQHJLSR,R2GBAKS5MD7WLB,Great product,Love this product!! Less wires and very modern looking! So happy with my purchase!,5
B07437M5QQ,RLETD5ZRKR6AO,Happy!,happy there were 3! I thought I had only ordered one!,5
B07BS86NWF,R3EHTI1FW3SAV4,“2 out of 3 ain’t bad”...I guess,"2 worked, 1 didn’t. :-/",3
B09B23KVKT,REMZVPQOXWYUJ,Great product,Products awesome half price of others good quality,5
B08Z347SKL,R1WFDC4AUHMRR8,Great charger,I love the two charging stations in one. And the magnet is great to keep things clean looking.,5
B07XXDS86V,R13NSSFZPDRLG2,Hburnt y,"Wow.
I need a refund.",1
B098362FW6,R3TW1BKYA064DM,Long cords with fast charging power.,Could be easily broken.,4
B08P25VBY1,R1D0AG7UF9W6XQ,Great value,"Definitely recommend! I do have 4 apple products and need chargers a lot! I have no complaints on this because apple did not provide me any chargers. It is amazing cheap and comes with two packs. Also, it is convenient to me with a long length.Recommended to buy!",5
B095PJYJ39,R399L6XAT1VB3Y,Half the price of the OEM definitely same quality.,Great product get 2 for half the price of the original one.,5
B08S766222,R2KS44D84FZWUN,Good,Good,5
B08J425M88,R23UMS792M9A1Z,The cord length was what was important for me.,The cord length was what was important for me.,5
B00P933OJC,RSTDLI7KLWEGQ,This replaces all of my OEM chargers!!,"Works great to charge multiple devices faster than any single charger I have used in the past. I also have a couple other 6 port 60 Watt chargers that seem to work equally well. This Anker charger is a bit heavier (and more expensive) than my other 6 port chargers. I can't be sure there is any quality difference, but the overall ""finish"" and the heavier weight give me the impression this is a higher quality product.
When my wife and I travel, this one 6 port charger takes care of all of our devices and definitely charges multiple devices quickly without getting too warm. I really have no use for the chargers that were provided when I purchased my devices and now I no longer have to keep track of multiple chargers.",5
B071FG7PPL,RMOFJFE18RGDR,Good,Good deal. Says it’s fireproof but I’ve only used it a couple of time. Hopefully it’s true.,5
B099F558S1,R2PC07HB8RK6UN,Happy customer,Works just fine.,5
B00VH8ZW02,RHL9HE5DF6L97,I recommend,"I got this because my old one from 2015,isn't working as much very good,you can charge everything and fast",5
B0728HB18G,R1XDKV8FPHIDMH,Five Stars,These work amazing for my htc10 love the fast charging ability of my phone :),5
B07L2MZ9DQ,R3TRDE0B1NEWLL,Nice,"Compact and portable, great color",4
B08SWKBM3X,R1I7QW8G6DUGUB,This isn’t working well for charging,So bad,1
B07L9Q5GD3,R33FNHTI8OB21G,Great products,Works great,5
B07G2NW8BR,R3MREJN4YTDCCZ,Phone adapter for car.,Works perfect in my car. Has a light so I can always tell when it’s charging.,5
B07RHSD9WM,RMNHPZSF565PM,"The charger's pretty good, the included cord: not so much.","It's compact and it works well.
Get another ""C to C"" cord. The one that comes with it won't maintain a connection in either my LG V60 or my girlfriend's Samsung Galaxy S21.",4
B09GK7Z1GX,R2ZKW1JMOYSPUN,Cords,Worked good,5
B075M59ZB7,RLWEE0WEYXNHZ,easy to use working very good,"easy to use working very good .easy to use,",5
B085M2WPSZ,R1KZWO981FC504,Money’s worth!,The different lengths are very convenient to use. The price is great for what you get.,5
B07X7M4D63,R2UESD2AFWKKM9,A must have … at home or on the road,It’s so much easier for me to pack this for my business travel than to have to make sure I have all the cords and plugs I’ll need for my gear.,5
B06XXZK99F,R32YU1Q1V5GBYV,Note no plug in,"Just received this—it works great so far, charges quickly. The only thing I didn’t realize when purchasing is that it doesn’t come with the plug in piece, so you need an AC/usb adapter.",5
B01N68AMCU,R2ANP8Q76TS6RS,"Good product, great price!","I believe that I reviewed this item recently and gave the seller and the item 5 stars. I use them to power the chargers that are used to charge my Li Po batteries that power my drones . Great product, great price.
.",5
B07MW4YWQ4,R28D3YU6P8G5WA,Works well on a nightstand,Works well on a nightstand..,5
B08NCFN2H4,RIV3C5IG1JBTS,Buen producto,"Buen producto, útil y fácil de usar",5
B07KVQXJSY,R1WYS9GR2IBP5M,Junk,It never worked. I could have sent it back but oh well.,1
B08S3JYG32,R2CJT5RQ34IZLE,Excellent,Love them. Great buy,5
B07MPRKZ74,R3IJJDIU3OIOJS,The USB-C connection is no good,"I bought these as a cheap alternative to the official Samsung charger. Cheap is the important word. Both of the included USB to USB-C cables were loose on the USB-C side and not detected by my phone unless I held them at an angle that felt like it could do permanent damage to my charging port. I'm not sure if the charging bases (the AC adapter) are any good, but the included cables are garbage. I'd return, but at this low of a price, it just isn't worth my time to bother. I guess them being so cheap I don't care about a refund might be a selling point for some, so there's that.",1
B07XLG8H2D,RHRWE5LIHAYTX,Great idea,"I love this charging station. I have all my devices in one place and it doesn’t take up
a lot of room on the night stand. Highly recommend",5
B0831PDGBL,R25JKOOIT8CFQF,Super cool wireless charger,Fast charging. Anti-fault indicators. Fits well into small spaces such as desks of office shelves. It also allows you to prop your phone up if you want to watch a video.,5
B07D11946L,R2R24IAAOZ1TOO,So far so good....,So far the charging seems to be average. Both chargers work fine and the length is a plus!,5
B07VQ8GS26,R7MW8D1AY95MZ,Great charger & price,"Great charger for a great price.
Cool colors too.",5
B08NT9NPDD,R332Z7VAGM21MG,La version améliorée est super,"Bon produit et service client au top
Et très réactif
Le modèle a été amélioré ce qui change tout",5
B08NDLQ4PP,R1R7Q8V2XEWF8K,Awesome,"Product is awesome! I love how you don’t need to use any cords from your devices. Sleek looking, compact and super handy.",5
B091CSVKCJ,R3QSZ11NE10LMB,Good value,"Great product - was exactly as described, and very durable. Would purchase again.",5
B088K6H3NM,R5ZY6XOBVGD94,Piece of junk,This charger stopped working a few weeks after buying it. Stay away!!,5
B075CJMJYJ,R3UWBUWB6Q5AW0,Sturdiest built car charger I’ve ever bought.,Sturdy charger 3 ports come in handy. Lights up when powered.,5
B08RHR2N75,R10SY1WFOMNFBO,Clean setup!,"Great charger for iPhone, AirPods and Apple Watch. The Apple Watch wires goes around bottom cleanly. No more extra unnecessary wires laying around.",5
B07FBCYGFV,R584SXWB6TPJP,Plug,"Great product, very sturdy and works great. Thanks.",5
B07H8WJCTF,R1J0QCNNTGG2WA,ANKER ROCKS!!,Anker products ROCK! This is perfect for travel!!,5
B07JWF6X2C,R16ED4RH6MSVHS,Extra Phone Charger,Charger works perfectly. I like the idea of the bright blue cord and trim which allows you to easily recognize it if you're moving it from one vehicle to another.,5
B0992F2D7X,R3OVKLU02L00CB,Super convenient charger,I like that it was flat and not very large and charged both watch and phone at the same time. Had it for a while now and works perfectly.,5
B00VH88CJ0,RI6V96723X89J,they shipped new updated ones with a much better tip spring strength so they stay engaged in the ...,"Charges fast, especially when paired with one of Anker's PowerLine cables. Tiny blue LED is bright enough to be seen in the daylight, but not too overpowering at night in my opinion. I bought 3 of these in September 2015 and they had the issue of the tip spring being far too strong, as one prominent reviewer Jason S noted. The tip spring was so strong it would push the charger back out of the lighter socket over a few days of driving. This happened in more than one vehicle. After putting up with this for 4 months, I contacted Anker service, they shipped new updated ones with a much better tip spring strength so they stay engaged in the lighter. Glad they made this change to fix this flaw on an otherwise excellent car charger because the internal electrical component quality is good. Kudos to Anker for standing behind their product.",5
B07WC2FQ65,R2EKXBIQA2PLP5,Useless,"Couldn't keep phone centered to charge- would get it in place and then without touching it, it would quit",1
B077HFFLMS,RXMK4LX4SNHLF,Very good charger,Just what I wanted. Works well and very travel convenient.,5
B08NX9PC72,R2JVVGC3QFQ1FA,Works great,Really fast charging .. works great!,5
B07WGZ8DSL,R38CLMQNK6OIUR,They work!,"I needed these for my car, especially while on vacation. The work perfectly with the new charge cords I bought. I love being able to plug 2 cords into it. They charge quickly. We have used them for about 2 months...so far so good. I would recommend.",5
B09TDX532F,R20J4MCKAYM7JU,small and effective,Got 2 of the chargers for a very reasonable price. Can charge my new Iphone 12 and my apple watch with the same charger. Very effective and worth the money.,4
B078LS9DY1,RBW1A6DD3LNZB,Very nice product.,"Great product. No complaints. Isn’t as fast as some of my plug in chargers, but faster than others. However, if you add into the equation the time you save by just placing it on the pad, it’s as fast, or faster than any plug in charger. And extremely more convenient.
I’m ordering several for Christmas presents and more for myself.
I highly recommend this product.",5
B09JP4FSY2,RPQC332EHG8KU,Good purchase !,Good quality charger for a good price. Charges my phone very fast. Faster than any other charger.,5
B07WFB6QMV,R3SPHTYKXAX3E5,Great product,These are excellent chargers so far. Love being able to set by bedside at night in upright position enabling to see time and temp if wake up. Also able to lay phone horizontally if desire. Haven't had long enough to judge longevity. If they last they will be superb product.,5
B075NDTVJV,RUCWJIRICQI2E,Five Stars,Really fast charging,5
B07KP49H6C,RHKSZYMK9VBC,Great value,I take my cords with me everywhere. The length is great. No need for an extension cord.,5
B07KP49H6C,R3KKM9649MGO0Z,Excellent Phone Car Charger,This car phone charger is very durable & works very well to keep my phone's GPS working even on long trips. The cord length is more than adequate to go from the plug-in point to the phone holder on my windshield. It is also very sturdy to keep in my car despite the year-round FL heat. It doesn't crack from sun exposure like my previous car charger.,5
B07RHSD9WM,R2GOVQVVTTFUSU,Not as powerful as claimed,"Not as powerful as claimed. When using both ports at the same time, I got 5 watts out of the USB-C port. When only using the USB-C port, I was able to get 8 watts. Was expecting to get 18 watts as claimed. Tested using iPhone XS.",2
B08YYMCK26,R2V299M9J62VWB,Easy to use and works great,This thing slaps right on and sticks there. I don’t have to search for phone port in the dark and phone won’t slide off.,5
B099F55CGR,R2MHPYS0M0YLA2,"Super fast, light, easy to carry, streamlined, great!","I wanted a fast charger, one I could take anywhere and this fits the bill. Not only is it nice looking, but it fits easily in my purse or pocket and is lightning fast. I highly recommend this Anker charger!",5
B088RDWBBL,RLIXOOV7F5LGW,Great at first but fire hazard.,This product was amazing at first I had for 3 months not an issue. Charged everything fine and was exactly what I was looking for. Unfortuantely I came home from work yesterday and smelt chemical burning. I saw that the lead going into the unit had completely melted ruining my table it was sitting on. I have no idea why this has happened but is very dangerous as a potential fire hazard,2
B07YD77RKC,R22TCW93G6IGXN,Blaue LED ist etwas zu hell für den Betrieb auf dem Nachtschränkchen. Ich hab's abgeklebt..,,4
B08P17LX4X,R3D2Q60828XJPE,Looks great and Charges all my gadgets at one place,It would have been 5 stars if it came with charging brick and I did not have to spend extra money on buying a charging cable for my watch,4
B088RDWBBL,R24TZ5DIHM6LZG,Ingénieux,"Facile de tout charger en même temps, efficace, simple et ne prend pas beaucoup de place",5
B08NRBRZH4,R2IIKM0CVUNMVQ,Charger,"Good price, fast charge, plenty of power, delivery slow",5
B08RF2Q14J,R292JBTMULORON,5.0 out of 5 stars Compact and convenient wireless charging station,"I recently got a new phone and couldn't wait to take advantage of the wireless charging feature. Ever since I began working from home my desk has been a jumble of wires and cords. This wireless charger is great - it is compact and quickly charges my phone, apple watch, and AirPods in one neat little corner of my desk! This wireless charger was a great investment - I would highly recommend it!",5
B097PTBB5V,R2JL6YFEXH371J,Excellent Purchase at the right price point.,"I wanted a spare power supply for my MacBook Pro particularly for travel. It looked and felt exactly the same way as the OEM power supply. Instead of using it as the spare, I have been using it as the power supply for my everyday use. It has performed well - without any problem. I would certainly recommend it for anyone needing a replacement or a spare power supply.",5
B07DBWFGJC,R2ELWRNM8S41GZ,Great buy for travelers,Worth it!,5
B08KZX1882,R3EYXCLGDJHZL2,"Reasonable price, compatible","This one is a good option, with reasonable price and good quality. Overall, it is of high quality. Doesn’t take too much time for a full recharge. The cord is long enough.",5
B08K8VBD91,R1M2ZSDABLRUO0,FAST charger,Best fast charger for the price,5
B07WGZ8DSL,R17MMU7FJU0SWY,Veru compact abd handy,"Great for vehicle to power gps, cell, etc, Compact and can use any usb to ?? device input.",5
B07VC4MFYJ,R3KYRTF2276S7H,Works great,Works very well.,5
B08N9TPH3J,RO4899F31Y8VO,Parfais!,Super,5
B07TK6MPNB,R3018SN5DSE2P4,Good for the price,"Very good, fast charging, good price",5
B083QF3Q9Y,R2Y2LGIOXEOM6L,Good,"I’m powering 4 Raspberry Pi SBCs. No problems so far. Not lux, just plastic, but it works.",4
B07BJ53BPN,R1CFAZYG8C9HQ7,Small and tough,"These little cubes are tough and portable, two USB ports is a bonus when my wife and I travel together",5
B09FKZ7M9M,RBMFSLE7IZF3X,Great product for the price,I love the matte finish and how I am able to charge 3 devices at once. It’s also very thin and portable.,4
B0995QL2LJ,R1M7J55RJULZMO,Apple Watch charging station does not charge series 7,Will not charge our series 7 apple watch,1
B0734SN6VR,R3RUEQI05BNO16,USB power adapter lasted only about three months,"What I didn't like about this product it only lasted about three and a half months "" junk """,4
B07R7K2QMW,RTY1LTJXK8OCZ,Es bastante bueno,Si funciona en iphone 12 se carga bastante rapido,5
B085RWJWVN,R247Y1AG6M8J4I,Only charged phone up to 80 percent then stops working.,Charges Watch and AirPods just great. Will not charge phone properly. It is only half way useful.,2
B01JLXTQ1U,R1M1ZVV8QFGNPS,Thinnest USB side plug,This is the thinnest USB side plug that I can find out there on Amazon and Ebay. I am happy with it so far although I see that the plastic isn't the best material. For now it's worth 4* because the price is a bit high for this item.,4
B08TWWRQGB,R112YHJV2HC0VE,The WAITIEE charger is a great product.,This charger works as advertised. The magnet easily finds the sweet spot on my iPhone 12 Pro for fast reliable charging. I love it.,5
B07H6MW2YG,R39VOU0DK72MCP,I’m glad I got this charger.,The charger works just fine. I like the convenience. It would be nice if the cord was longer so it would be more flexible as to placement. But I made it work.,4
B08Q3P3WWP,R3FQHRTEPIU7YB,GREAT PRODUCT,Price is great and everything works as it should!,5
B08RJ2WF9V,R312SY35QKLAD1,Nice and neat nightstand.,"This is a nice and compact charger for all my Apple devices. Works well. I charge my iPhone 11 Pro, AirPods Pro and Apple Watch Series 5. Seems to work fine. Chargers everything quickly and at the same time and looks nice. So much better than all the cords I had before.",5
B08W1SVT1L,R2RZEE1X04S1RQ,I really like this one,It is working as it should. Fits nice in the car and have no problem with it,5
B01IPJX2NY,R9N6LWICTD1MX,One Star,Product stopped working the day after the return policy ended,1
B09V15PXDJ,R12F6LAUVS8WAZ,Wasn't sure,I wasn't sure at first that this would work but it works great....chargers pretty fast too,5
B0894TL5JG,RPVKO3BXEVWJI,Watch charge intermittent,"Looks nice, small and compacg. But my the watch charger is not working properly.. it charges intermittently.",3
B09D7G1YT6,RLEB8KFWC9SI3,Quick Delivery,Charger came faster than the new iphone. Good value for the price.,5
B085RV8XQ4,R1LXVRGTBKVKPZ,Very good design,Charges all my devices. Has a separate indicator light the lets you know which device is charging but also will turn off after a few seconds so it does not shine while sleeping.,5
B098362FW6,R3AK76Z367V09S,Quality product,Excellent,5
B00YRYS4T4,R1KHEGMLVM9LXP,Five Stars,SIMPLY AWESOME,5
B07THL8PP1,R2W16RYX5BUOSA,Just as advertised,Works great and very convenient,5
B09HBJ1Z96,RTJX9PU3FDVIK,Works great,Haven't had any issues,5
B07QX1Q4J7,R2840UBLIOM0Q8,Waste of money,Phone charger is pure trash. Used it for less than 2 weeks and it's already stopped working.,1
B079RW9WWC,R19KH546DL3XTA,Used in Fiji,Worked great in Fiji,5
B07GWQ2GJC,R1T9LTNJOY75TO,Not satisfied,"Every-time I need to unplug the cable from the adapter to make it charging and Sometimes it reaches 60% or 80% charged, then it stops charging, and I need to unplug the cable to make it work again. It makes me angry.",1
B09N982NDT,R1YBR0X3S6VTLY,Overall a good charger,The charger is light weight and as described. Works good,5
B07ZCCVL5Q,R2BEO2C6U0BZNH,Does the job,My old lay down charger was hit and miss with charging my iPhone 13 because of the case I had. I have not had one night where my phone hasn’t charged with this unit. I like that I can turn the light on the charger on or off. I also hang my watch on this charger as well. All with one cord that came with it. No plugging in extra charger cords here. Looks sleek too. I have not taken it with me on travel so I couldn’t give it any stars there.,4
B0798X8Y9K,R2SH5L1UGRZWU2,I just became a Alpatronix Raving Fan,This is my third order from Alpatronix. I am absolutely pleased with everything I ordered from them. Everything works like it should! The 2-year extended warranty is great. The process for the warranty is simple and fast. I gave Alpatronix two thumbs up!,5
B072K6BLJJ,R2ILPWGZ3P56IR,Terrible charger for LG V10,I bought this charger to use with my LG V10 and it is awful. I thought that it would be a fast charger for my phone but it is not. I have only got it to say fast charging once after pluging it in over and over. Most times a message comes up on my phone and says charging slowly and to change to the original charger. I have to keep checking on it to see if it is indeed charging or not. Would not recommend.,1
B09PGBDP66,R2JFU35DV7XRHS,Worth the price,This product was priced very well and the items work really good. I love the fact that I got 3 chargers for the price I would normally pay for one. I will definitely reorder again.,5
B01N68AMCU,R3OCONWVBFMID4,I wouldn't buy again.,Everything works great with these chargers except for the fact that it gets hot to the touch when plugged in. I can't in good conscience continue to use them. They can't be trusted to be left plugged in with that happening. It has happened in every outlet I tried them in both in my house and our toy hauler when camping.,1
B01MR9DBRQ,R1K8PR0LEAT7E8,Five Stars,Worked well in NZ.,5
B09HKQ8JKT,R35TKXN2ZNCUED,Charger breaks,Charger breaks,1
B07P54F2JH,R2JVSCIIUV1WGT,ALMOST BURNT THE HOUSE DOWN!,"I bought this charger for myself about a year ago and thought it was great, so I bought my girlfriend one. A few weeks later she put her phone on as we were going to bed and we were woken up by the smell of smoke a few minutes later. The charger port and the cord end had completely melted together and broken off. I’m so glad we woke up and caught it before it got worse, I can’t imagine if the bed sheets had caught fire! I really liked my first charger but with this happening I can’t bring myself to trust any of their products anymore",1
B07MW4YWQ4,R18LCL60EW9OWE,Excellent,This was a lifesaver when my plug port stopped working. Charges fast.,5
B01GDV2L56,RD9U1L33VHQLI,Great buy,Charges fast I’d definitely buy more for gifting,5
B08L7P4G15,R279BC1W8GED6Z,Used on a iPhone 11 Pro doesn’t charge at alll!,Doesn’t charge my phone at all read reviews before hand and completely disappointed waste of money.,1
B08GWTW7L4,R3CD2L19QZSGW2,Easy to set up and use!,Great product. Easy to set up and use. Charges phone easily and allows a passenger to charge their phone with an additional cable :),5
B01456U4N2,R3TKP0JTAONUS,its ok,"works good, but come out easy, like if I bump it",3
B08L5M9BTJ,R3N0MZ1Z67GCV,Works perfect :-),Bought this for my new iPhone 12 max. Works perfect for a fraction of the price.,5
B08CB8X4P2,R3E1NMT5YT6NBU,So far works great,Easy set up,5
B07N682SWY,R2SP27WO25ZEU8,Low. Quality product,Bad cord constantly disconecting,1
B08XX2KGRC,R2A2605Y9Z4S39,I like it,"Works well for my galaxy 3 watch, my watch band stays on and isn't scratched from a table",5
B075Q5731C,R3TASLIBSLAP3V,do not trust it for travel.. or anything for that matter!,plugged it in to 220 while traveling and it went up in smoke!!!!!! what a piece of junk! (worked on 110 though??!),1
B07SSL4KND,R1QWN7QPKL97W9,Doesn't charge right,Doesn't charge right.,2
B073WVQRH8,RRB71ZZ4WJE5N,Great charger for the money.,"Works on numerous different devices, great product.",5
B087WSPFBV,R2NYPTT2B4O42Q,Will not charge multiple devices together,Basically only charges one device at a time. Will not charge phone and watch together.,3
B07J6FWK57,R1HBVBHR3A4CSI,Great Item,"This item is awesome. It delivers as described, charger is fast and small enough to fit just about anywhere. This is my third one I've bought for my vehicles and work vehicle. Highly recommend them!",5
B077XQJ2FK,R1IM7Z8UYOHEF6,Fair Price,Almost everyone needs one of these from time to time. This one is as good as any and the price is reasonable. Arrived quickly.,5
B09JZWKC1D,R1TFD70QKM7ODH,Legit and new in box,Seems like a real samsung charger. Works fine. Short cable from factory,5
B07NZJ1MHX,R1RHU5XPZYIHDS,perfect charger,came fast works perfect,5
B07DC4J387,R1XU0YKEYPCFZ2,Cable stopped working,"Bought this about a month ago and the cables already do not work anymore. Not sure if this is a product issue or if Apple did an update or prevent it from working, but not happy about it.",1
B07437M5QQ,R1V8C4URVX5KA2,Simple chargers,These feel pretty cheap and they are super light weight. I only use these to charge my iphone. They also never seem to get as hot as the original iphone wall charger did. They get the job done just fine.,4
B07BKL7B9R,R3S710AYCHXGOU,The Best Wireless Charging Pad,Works exactly as advertised. Always connects with my iPhone X with cover and charges rapidly. Great product.,5
B09KZMN957,R3W4ASKQRAVLC9,Ne Fonctionne plus après seulement trois mois,"Produit reçu rapidement de ce côté là pas de soucis, la recharge du téléphone semble correcte, par contre le puissant aimant censé maintenir le chargeur collé au téléphone, là ça ne fonctionne pas. L'aimant doit empêcher le téléphone de glisser, de pouvoir utiliser le téléphone pendant qu'il recharge, comme le montre une image dans la description du produit, mais malheureusement en vrai ce n'est pas le cas, le téléphone glisse et risque de tomber, ce qui lui vaut mes deux étoiles ! je fais une demande de remplacement (merci Amazon) en espérant que ce soit juste mon produit qui est défectueux. Réponse dans quelques jours...
12/06/21 : remplacement rapide (merci Amazon) mais après seulement trois mois d’utilisation le chargeur ne fonctionne plus. Lorsque je met mon iPhone sur le chargeur, j’ai bien le petit éclair qui s’affiche dans batterie en haut à droite mais le téléphone ne charge pas. Après 4h de charge, ma batterie n’a pas grimpé d’un seul pourcent. Testé avec mon iPhone 12 Pro Max et l’iPhone SE deuxième génération de ma femme, avec le même résultat. En apparence le téléphone charge mais en apparence seulement. Je suis extrêmement déçu par ce produit.",1
